,2022-01-01 ~ 2022-01-31,,,,,,
,키워드,사용자,세션,이탈수,이탈율,세션당PV,구매
,한우," ₩ 1,934 ","  2,100 ",  558 ,26.57%,  3.62 ,  28 
,한우선물세트, ₩ 589 ,  630 ,  193 ,30.63%,  4.24 ,  12 
,설로인한우, ₩ 184 ,  209 ,  52 ,24.88%,  7.09 ,  8 
,스테이크, ₩ 745 ,  777 ,  486 ,62.55%,  3.33 ,  4 
,한우구이용, ₩ 60 ,  62 ,  28 ,45.16%,  2.99 ,  4 
,이유식소고기, ₩ 60 ,  63 ,  27 ,42.86%,  13.07 ,  3 
,프리미엄소고기, ₩ 19 ,  21 ,  5 ,23.81%,  4.42 ,  3 
,스테이크용소고기, ₩ 58 ,  60 ,  28 ,46.67%,  4.67 ,  2 
,프라임소고기, ₩ 65 ,  68 ,  29 ,42.65%,  5.83 ,  2 
,한우선물, ₩ 51 ,  55 ,  12 ,21.82%,  3.11 ,  2 
,한우소고기, ₩ 27 ,  31 ,  11 ,35.48%,  3.63 ,  2 
,한우안심, ₩ 74 ,  80 ,  37 ,46.25%,  3.69 ,  2 
,1등급한우, ₩ 130 ,  132 ,  87 ,65.91%,  3.21 ,  1 
,르통, ₩ 8 ,  8 ,  1 ,12.50%,  4.45 ,  1 
,명절선물, ₩ 82 ,  82 ,  53 ,64.63%,  5.66 ,  1 
,명절선물한우, ₩ 1 ,  1 ,  - ,0.00%,  3.53 ,  1 
,샤퀴테리, ₩ 33 ,  34 ,  11 ,32.35%,  5.42 ,  1 
,샤토브리앙, ₩ 72 ,  76 ,  36 ,47.37%,  1.74 ,  1 
,설로인홈파티, ₩ 1 ,  3 ,  1 ,33.33%,  2.50 ,  1 
,설선물소고기, ₩ 4 ,  7 ,  1 ,14.29%,  29.00 ,  1 
,안심스테이크, ₩ 96 ,  97 ,  54 ,55.67%,  3.74 ,  1 
,차돌박이, ₩ 81 ,  83 ,  51 ,61.45%,  4.61 ,  1 
,채끝등심, ₩ 78 ,  88 ,  22 ,25.00%,  2.47 ,  1 
,채끝스테이크, ₩ 91 ,  99 ,  34 ,34.34%,  3.25 ,  1 
,프리미엄한우, ₩ 30 ,  34 ,  13 ,38.24%,  2.94 ,  1 
,한우갈비살, ₩ 19 ,  20 ,  10 ,50.00%,  4.00 ,  1 
,한우구이, ₩ 35 ,  37 ,  17 ,45.95%,  7.23 ,  1 
,한우구이선물세트, ₩ 8 ,  8 ,  2 ,25.00%,  3.86 ,  1 
,한우꽃등심, ₩ 123 ,  133 ,  68 ,51.13%,  3.23 ,  1 
,한우당일배송, ₩ 22 ,  22 ,  10 ,45.45%,  2.93 ,  1 
,한우등심스테이크, ₩ 19 ,  20 ,  3 ,15.00%,  2.48 ,  1 
,한우세트, ₩ 89 ,  96 ,  26 ,27.08%,  3.09 ,  1 
,한우스테이크, ₩ 62 ,  64 ,  27 ,42.19%,  5.22 ,  1 
,1++등심, ₩ 4 ,  4 ,  1 ,25.00%,  1.50 ,  - 
,1++살치살, ₩ 1 ,  1 ,  - ,0.00%,  5.12 ,  - 
,1++안심, ₩ 2 ,  2 ,  - ,0.00%,  2.43 ,  - 
,1++한우, ₩ 16 ,  16 ,  3 ,18.75%,  1.00 ,  - 
,1등급소고기, ₩ 2 ,  2 ,  - ,0.00%,  1.00 ,  - 
,1등급한우등심, ₩ 2 ,  2 ,  1 ,50.00%,  1.80 ,  - 
,20만원대선물, ₩ 1 ,  1 ,  1 ,100.00%,  1.55 ,  - 
,SIRLOIN, ₩ 14 ,  16 ,  2 ,12.50%,  3.00 ,  - 
,SIRLOIN한우, ₩ 1 ,  1 ,  1 ,100.00%,  1.00 ,  - 
,TJFFHDLS, ₩ 2 ,  2 ,  1 ,50.00%,  3.77 ,  - 
,가족선물, ₩ 1 ,  1 ,  1 ,100.00%,  1.00 ,  - 
,갈비세트, ₩ 13 ,  13 ,  7 ,53.85%,  3.97 ,  - 
,거래처선물, ₩ 28 ,  28 ,  21 ,75.00%,  1.04 ,  - 
,거래처설선물, ₩ 4 ,  4 ,  4 ,100.00%,  3.08 ,  - 
,고급선물세트, ₩ 14 ,  14 ,  9 ,64.29%,  1.00 ,  - 
,고급설선물, ₩ 1 ,  1 ,  1 ,100.00%,  1.00 ,  - 
,고급설선물세트, ₩ 2 ,  2 ,  2 ,100.00%,  2.29 ,  - 
,고급소고기, ₩ 3 ,  3 ,  3 ,100.00%,  1.00 ,  - 
,고급한우세트, ₩ 1 ,  1 ,  1 ,100.00%,  1.00 ,  - 
,고기선물, ₩ 15 ,  15 ,  5 ,33.33%,  4.00 ,  - 
,고기선물세트, ₩ 25 ,  25 ,  8 ,32.00%,  1.73 ,  - 
,구이용소갈비, ₩ 1 ,  1 ,  - ,0.00%,  1.00 ,  - 
,구이용소고기, ₩ 36 ,  36 ,  17 ,47.22%,  1.00 ,  - 
,구이용한우, ₩ 19 ,  22 ,  12 ,54.55%,  1.33 ,  - 
,구정명절선물, ₩ 1 ,  1 ,  1 ,100.00%,  6.00 ,  - 
,구정선물, ₩ 43 ,  43 ,  30 ,69.77%,  1.00 ,  - 
,구정선물세트, ₩ 40 ,  40 ,  28 ,70.00%,  3.50 ,  - 
